LAPSYD	PHOIBLE_REF	PHOIBLE_KEY
Crane, Thera Marie, Larry M. Hyman & Simon Nsielanga Tukumu. 2011. A Grammar of Nzadi [B865]: a Bantu Language of the Democratic Republic of the Congo. University of California Press, Berkeley & Los Angeles. Available at http://escholarship.org/uc/item/846308w2		
Crawford, J. M. 1973. Yuchi phonology. International Journal of American Linguistics 39: 173-9.	Crawford, James M.. 1973. {Yuchi Phonology}. 39. 173--179	Crawford1973
Crazzolara, J.P. 1960. A Study of the Logbara (Ma'di) Language. Oxford University Press, London.	Crazzolara, J. P.. 1960. {A Study of the Logbara (Ma'di) Language}. London. Oxford University Press	Crazzolara1960
Creider, Chet A. and Jane Tapsubei Creider. 1989. A Grammar of Nandi. Helmut Buske, Hamburg.		
Creider, Jane Tapsubei and Chet Creider. 2001. A Dictionary of the Nandi Language (Nilo-Saharan Studies 16). Rüdiger Köppe Verlag, Köln. (not seen)		
Crevels, Mily. 2002. Itonama o Sihnipadara, Lengua no clasificada de la Amazonía Bolivian. Estudios de Lingûística, Universidad de Alicante 16.	Crevels, Mily. 2002. Itonama o Sihnipadara, Lengua no clasificada de la Amazon{\'\i}a Boliviana. 16	1928_Crevels2002
Crewe, W. J. 1975. The Phonological Features of the Ingessana Language. Institute of African and Asian Studies, University of Khartoum.		
Crofts, Marjorie. 1967. Notas sobre dois dialetos do Mundurukú. Atas do Simpósio sobre a Biota Amazônica Vol. II, 85-91. Belém: Série Antropologia.		
Crofts, Marjorie. 1973. Gramática Mundurukú. Brasília: SIL Publications, SIL-Brasil.		
Crofts, Marjorie. 1985. Aspectos da língua Mundurukú. Brasília: SIL Publications, SIL-Brasil.		
Crowell, T. H. 1979. A Grammar of Bororo. Ph. D. Thesis, Cornell University, Ithaca, New York.	Crowell, Thomas Harris. 1979. {A Grammar of Bororo}. Cornell University	Crowell1979
Crowley, Terry. 1981. The Mpakwithi dialect of Anguthimri. In R.M.W. Dixon & Barry J. Blake, eds, Handbook of Australian Languages, Volume 2. John Benjamins, Amsterdam: 146-194. (a salvage description based on a single speaker who fled from forced boarding school education)		
Crowley, Terry. 1982. The Paamese Language of Vanuatu (Pacific linguistics. Series B, No. 87). Department of Linguistics, Research School of Pacific Studies, Australian National University, Canberra.		
Cruz, Luis Hernández, Moisés Victoria Torquemada & Donaldo Sinclair Crawford. 2010. Diccionario del Hñähñu (Otomí) del Valle del Mezquital, Estado de Hidalgo, Segunda edición, electrónica. Instituto Lingüístico de Verano, Tlalpan. Available from http://www.sil.org/resources/publications/entry/51534		
Cunningham, M.C. 1969. A Description of the Yugumbir Dialect of Bandjalang (University of Queensland Faculty of Arts Papers 1/8). University of Queensland Press, Brisbane. Available at http://espace.library.uq.edu.au/eserv/UQ:220370/PL7101_B3S5_1969_v1no8.pdf (Has freq counts of vowels)	Cunningham, M. C.. 1969. {A Description of the Yugumbir Dialect of Bandjalang}. Brisbane. University of Queensland Press. 1	Cunningham1969
Curnow, Timothy J. & Anthony J. Liddicoat. 1998. The Barbacoan languages of Colombia and Ecuador. Anthropological Linguistics, 40 (3): 384-408.	Curnow, Timothy Jowan; Liddicoat, Anthony J.. 1998. The Barbacoan Languages of Colombia and Ecuador. 40. 384--408	1856_Curnowetal1998
Curnow, Timothy J.. 1997. A grammar of Awa Pit (Cuaiquer): an indigenous language of western Colombia. Ph.D. dissertation, Australian National University, Canberra.	Curnow, Timothy Jowan. 1997. {A Grammar of Awa Pit (Cuaiquer): An Indigenous Language of South-western Colombia}. The Austrailian National University	kwi_curnow1997
Cyffer, Norbert. 1998. A Sketch of Kanuri. Rüdiger Köppe, Hamburg. (not seen)		
Dahab, Ali Abdoullay and others, compilers. 2003. Lexique maba-français. N’Djaména, Tchad: Association SIL Projet maba. 136 p (not seen).		
Dahlstrom, Amy. 1991. Plains Cree Morphosyntax. Garland Publishing, New York.		
Dalby, D. 1966. Lexical analysis in Temne with an illustrative wordlist. Journal of West African Languages 32: 5-26.	Dalby, D.. 1966. {Lexical Analysis in Temne With an Illustrative Wordlist}. 3. 5--26	Dalby1966
Dalkilic, Mehmet E. and G. Dalkilic, 2002. On the cryptographic patterns and frequencies in Turkish language. Lecture Notes in Computer Science 2457: 144-153. (has letter frequencies in large text corpora — e.g. does not distinguish the two laterals which are both written with <l>)		
Dankovicova, Jana. 1999. Czech. Handbook of the IPA. Cambridge University Press, Cambridge: 70-3.		
Dart, Sarah N. 1993. Phonetic properties of O'odham stop and fricative contrasts. International Journal of American Linguistics 59: 16-37.		
Dart, Sarah N. 1998. Comparing French and English coronal consonant articulation. Journal of Phonetics 26, 71-94.		
Das, A. R. 1977. A Study on the Nicobarese Language. Anthropological Survey of India, Government of India, Calcutta.	Das, A. R.. 1977. {A Study of the Nicobarese Language}. Calcutta. Anthropological Survey of India, Government of India	Das1977
Dasgupta, Probal. 2003. Bangla. In George C. Cardona & Dhanesh Jain, eds, The Indo-Aryan Languages. Routledge, London: 351-390.		
Davidson, Matthew. 2002. Studies in Southern Wakashan (Nootkan) Grammar. Ph. D. dissertation. State University of New York, Buffalo.	Davidson, Matthew. 2002. {Studies in Southern Wakashan (Nootkan) Grammar}. State University of New York at Buffalo	noo_davidson2002
Davies, John. 1980. Kobon phonology (Pacific Linguistics B 68). Research School of Pacific Studies, Australian National University, Canberra.		
Davies, John. 1981. Kobon. North-Holland, Amsterdam. Reprinted 1989, Routledge, London and New York.		
Davis, Donald R. 1969. The distinctive features of Wantoat phonemes. Linguistics 47: 5-17.	Davis, D. R.. 1969. {The Distinctive Features of Wantoat Phonemes}. 47. 5--17	Davis1969
Davis, Donald. 1994. Organised Phonology Data: Wantoat (Wandoat) Language [WNC]. Available at http://www-01.sil.org/pacific/png/pubs/928474542364/Wantoat.pdf		
Davis, Irvine. 1964. The language of Santa Ana Pueblo. Bureau of American Ethnology, Smithsonian Institution 191: 59-190.		
Davis, M.M. 1974. The dialects of the Roro language of Papua: a preliminary survey. Kivung 7: 3-22.	Davis, M. M.. 1974. {The Dialects of the Roro Language of Papua: A Preliminary Survey}. 7. 3--22	Davis1974
Dawd, Abushush and Richard J. Hayward. 2002. Illustrations of the IPA: Nara. Journal of the International Phonetic Association 32: 249-255.	Dawd, Abushush; Hayward, Richard J.. 2002. Illustrations of the IPA: Nara. Cambridge University Press. 32. 249--255	nrb_dawd2002
Day, Christopher. 1973. The Jacaltec Language. Indiana University Publications, Language Science Monographs 12. Bloomington: Indiana University.	Day, Christopher. 1973. {The Jacaltec Language}. Bloomington. Indiana University Press. 12	Day1973
Dayley, Jon P. 1985. Tzutujil Grammar (UCPL 107). University of California Press, Berkeley and Los Angeles.	Dayley, Jon Philip. 1985. {Tzutujil Grammar}. University of California Press. 107	tzj_dayley1985
De Armond, R.C. 1975. Some rules of Brahui conjugation. In H.G. Schiffman and C.M. Eastman (eds.), Dravidian Phonological Systems. University of Washington Press, Seattle.	De Armond, R. C.. 1975. {Some Rules of Brahui Conjugation}. Dravidian Phonological Systems. Seattle. University of Washington Press. 242--299	De-Armond1975
DeSousa, Hilário. 2006. The Menggwa Dla Language of Papua New Guinea. Ph D. Thesis, Department of Linguistics, University of Sydney.		
Dedrick, John M., and Eugene H. Casad. 1999. Sonora Yaqui Language Structures. Tucson: University of Arizona Press.		
Delattre, Pierre. 1965. Comparing the Phonetic features of English, German, Spanish and French. Julius Groos Verlag, Heidelberg.		
Delattre, Pierre. 1965. Comparing the Phonetic features of English, German, Spanish and French. Julius Groos Verlag, Heidelberg. (has freq data)		
Delattre, Pierre. 1966. Studies in French and Comparative Phonetics. --- La Haye, Mouton.		
Dell, François & Mohamed Elmedlaoui. 2002. Syllables in Tashlhiyt Berber and in Moroccan Arabic. Kluwer, Dordrecht.		
Dell, François, Mohamed Elmedlaoui. 2002. Syllables in Tashlhiyt Berber and in Moroccan Arabic. Kluwer, Dordrecht.		
Dempwolff, O. 1916. Die Sandawe: Linguistisches und ethnographisches Material aus Deutsch-Ostafrika. (Abhandlungen des Hamburgischen Kolonialinstituts vol. 34.) L. Friederichsen & Co., Hamburg.	Dempwolff, Otto. 1916. {Die Sandawe: Linguistisches und ethnographisches Material aus Deutsch-Ostafrika}. Hamburg. L. Friederichsen {\&} Co.. 34	Dempwolff1916
Dench, Alan Charles. 1995. Martuthunira: A Language of the Pilbara Region of Western Australia. (Pacific Linguistics, Series C, No. 125.) Research School of Pacific Studies, Australian National University, Canberra. (has consonant frequency data from dictionary sample of 1300 words)	Dench, Alan C.. 1995. Martuthunira, a language of the Pilbara region of Western Australia. Canberra. Pacific Linguistics. Series C-125. 125. xvii+390	122542
Derbyshire, D.C. 1985. Hixkaryana and Linguistic Typology, Appendix A: Phonology. Summer Institute of Linguistics and University of Texas, Arlington.	Derbyshire, Desmond C.. 1985. Hixkaryana and Linguistic Typology. Dallas. Summer Institute of Linguistics and the University of Texas at Arlington. 76. 177--182	1871_Derbyshire1985
Desheriev, J.D. 1953. Batsbijskij Jazyk. Izdatel'stvo Akademii Nauk SSSR, Moscow.	Desheriev, Junus Desherievich. 1953. {Batsbijskij jazyk: fonetika, morfologija, sintaksis, leksika}. Moskva. Izdatel'stvo Akademii nauk SSSR	Desheriev1953
Desheriev, Ju. D. 1967. Batsbijskij jazyk. In V.V. Vinogradov (ed.), Jazyki Narodov SSSR, Vol. 4, Iberijsko-Kavkazskie Jazyki. Nauka, Moscow and Leningrad: 228-246.		
Devagnanavaram, D. 1982. Koya Phonemic Summary. IEM Outreach Publications, Bangalore. (not seen)		
Dhakal, Dubi Nanda. 2012. Darai grammar. München: Lincom Europa (not seen)		
Dickinson, Connie. 2002. Complex Predicates in Tsafiki. Ph D. dissertation, University of Oregon, Eugene.	Dickinson, Connie. 2002. {Complex Predicates in Tsafiki}. University of Oregon	cof_dickinson2002
Diki-Kidiri, Marcel. 1977. Le sango s'écrit aussi — esquisse linguistique du sango, langue national de l'empire centraficain. SELAF (Société d'Études Linguistiques et Anthropologiques de France) 149. Peeters, Leuven.		
Diki-Kidiri, Marcel. 1978. Grammaire sango, phonologie et syntaxe. Thèse de 3ème cycle. Inalco - Université de Paris III. (not seen)		
Diller, Anthony V.N. 2008. Resources for Thai Language Research. In Diller, A. V.N., J. A. Edmondson, & Luo Yongxian (eds.), The Tai-Kadai Languages, 31-82. Routledge, New York..		
Dirks, Sylvester. 1953. Campa (Arawak) phonemes. International Journal of American Linguistics 19: 302-304. (different dialect/language from Payne's)	Dirks, Sylvester. 1953. Campa (Arawak) phonemes. Yarinacocha. 19. 302--304	1806_Dirks1953
Disner, Sandra F. 1983. Vowel quality: the relation between universal and language-specific factors. UCLA Working Papers in Phonetics, 58:1-158.		
Dixon, R. M. W. 1980. The Languages of Australia. Cambridge University Press, Cambridge.		
Dixon, R. M. W. 1991. Mbabaram. In R. M. W. Dixon & B. J. Blake. Handbook of Australian Languages. Vol. 4. Oxford University Press, Melbourne. 348-402.		
Dixon, R. M. W. 1999. Arawá. In R. M. W. Dixon & A. A. Aikhenvald (eds) The Amazonian Languages. Cambridge University Press, Cambridge: 293-306.		
Dixon, R. M. W. and A. Y. Aikhenvald. 1999. The Amazonian Languages, Cambridge University Press, Cambridge. (secondary source)		
Dixon, R. M. W. and A. Y. Aikhenvald. 1999. The Amazonian Languages. Cambridge University Press, Cambridge.		
Dixon, R. M. W., with the assistance of Alan R. Vogel. 2004. The Jarawara Language of Southern Amazonia. Oxford University Press, Oxford.		
Dixon, R.M.W. 1965. Mbarabam Phonology. Transactions of the Philological Society 64: 41-96.		
Dixon, R.M.W. 1966. Mbabaram: a dying Australian language. Bulletin of the School of Oriental and African Languages (London) 29: 97-121.	Dixon, Robert M. W.. 1966. {Mbabaram: A Dying Australian Language}. 29. 97--121	Dixon1966a
Dixon, R.M.W. 1972. The Dyirbal Language of North Queensland. Cambridge University Press, Cambridge. (has some data on 'probability of occurrence' of segments in different position based on 2200 word vocabulary)	Dixon, R. M. W.. 1972. The Dyirbal Language of North Queensland. Cambridge. Cambridge University Press. 9. 452	118330
Dixon, R.M.W. 1988. A Grammar of Boumaa Fijian. University of Chicago Press, Chicago.	Dixon, Robert M. W.. 1988. {A Grammar of Boumaa Fijian}. Chicago. University of Chicago Press	Dixon1988
Dixon, Robert M. W. 1977. A Grammar of Yidinʸ. Cambridge University Press, Cambridge. (has frequency counts)	Dixon, Robert M. W.. 1977. {A Grammar of Yidin}. Cambridge. Cambridge University Press. 19	Dixon1977
Doble, M. 1982. Essays on Kapauku grammar. Nieuw Guinea Studien 6: 152-155.		
Doble, M. 1987. A description of some features of Ekari language structure. Oceanic Linguistics 26: 55-113.	Doble, Marion. 1987. {A Description of Some Features of Ekari Language Structure}. 26. 55--113	Doble1987
Dodi, Anastas. 1968. Fonetika e gjuhës së sotme shqipe. Universiteti shtetëror i Tiranes, Tirana.		
Dol, Philomena. 1999. A Grammar of Maybrat. Ph. D. dissertation, University of Leiden. Published version 2007 Pacific Linguistics 586, Australian National University, Canberra.	Dol, Philomena Hedwig. 1999. {A Grammar of Maybrat: A Language of the Bird's Head, Irian Jaya, Indonesia}. Universiteit Leiden	ayz_dol1999
Donaldson, Tamsin. 1980. Ngiyambaa: The Language of the Wangaaybuwan. Cambridge University Press, Cambridge.	Donaldson, Tamsin. 1980. {Ngiyambaa: The Language of the Wangaaybuwan}. Cambridge. Cambridge University Press. 29	Donaldson1980
Donohoe, Mark & Yvette van Vogt. 1992. Analysis of tone in the language of Vanimo, Papua New Guinea. SST, ASSTA.		
Donohoe, Mark and Lila San Roque. 2004. I'saka: A Sketch Grammar of a Language of North-Central New Guinea. (Pacific Linguistics 554). Research School of Pacific and Asian Studies, Australian National University, Canberra.	Donohue, Mark; Roque, Lila San. 2002. {I'saka: A Sketch Grammar of a Language of North- Central New Guinea}. Canberra: Pacific Linguistics	ksi_donohue2002
Donohoe, Mark. 2002. Tobati. In J. Lynch, M. Ross & T. Crowley (eds), The Oceanic Languages. Curzon Press, Richmond, Surrey: 186-203.		
Donohue, Mark. 1999a. Tukang Besi. Handbook of the International Phonetic Association. Cambridge University Press, Cambridge: 151-153.		
Donohue, Mark. 1999b. A Grammar of Tukang Besi. Mouton de Gruyter, Berlin. Published revision of 1995 Australian National University Ph. D. dissertation.		
Donwa, S.O. 1982. The Sound System of Isoko. PhD Thesis, University of Ibadan.	Donwa, S. O.. 1982. {The Sound System of Isoko}. University of Ibadan	Donwa1982
Doty, Christopher S. & Susan G. Guion. (to appear). Tolowa peak pitch alignment: Perspectives from an Autosegmental-Metrical framework. Proceedings of the 33rd Annual Meeting of the Berkeley Linguistics Society (2007). (abstract at http://linguistics.berkeley.edu/bls/past_meetings/bls33/abstracts_web/Doty.pdf. Full version not seen)		
Douglas, W.H. 1955. Phonology of the Australian aboriginal language spoken at Ooldea, South Australia, 1951-1952. Oceania 25: 216-29.	Douglas, Wilfrid H.. 1955. {Phonology of the Australian Aboriginal Language Spoken at Ooldea, South Australia, 1951-1952}. 25. 216--229	Douglas1955
Douglas, W.H. 1964. An Introduction to the Western Desert Language (Oceania Linguistic Monographs 4, revised ed.). University of Sydney, Sydney.	Douglas, Wilfrid H.. 1964. {An Introduction to the Western Desert Language}. Sydney. The University of Sydney, Australia. 4	Douglas1964
Dow, F.D.M. 1972. An Outline of Mandarin Phonetics. Faculty of Asian Studies, Australian National University, Canberra.	Dow, Francis D. M.. 1972. {An Outline of Mandarin Phonetics}. Canberra. Faculty of Asian Studies, Australian National University	Dow1972
Doyle, Aidian. 2001. Irish. Lincom Europa, München & Newcastle.		
Du Feu, Veronica. 1985. The phonology of Rapanui. University of East Anglia Papers in Linguistics 21-22: 35-55. --- Du Feu, Veronica. 1996. Rapanui. London: Routledge. --- Weber, R. and N. Weber. 1999. Review of Rapanui, Veronica du Feu. Anthropological Linguistics 41:142-6		
Duanmu, San. 2007. The Phonology of Standard Chinese, second edition. Oxford University Press, Oxford.		
Duff-Tripp, Martha. 1997. Gramática del idioma yaneshaʼ (amuesha) (Serie Lingüística Peruana 43.) Ministerio de Educación and Instituto Lingüístico de Verano, Lima. Available at http://www.sil.org/americas/peru/show_work.asp?id=38254		
Duff-Tripp, Martha. 1998. Diccionario Yaneshaʼ (Amuesha)—Castellano (Serie Lingüística Peruana 47). Ministerio de Educación and Instituto Lingüístico de Verano, Lima. Available at http://www.sil.org/americas/peru/show_work.asp?id=38931	"Duff-Tripp, Martha. 1998. Diccionario yanesha' (amuesha)-castellano. Lima. Instituto Ling{\""u}{\'\i}stico de Verano. 11--12"	1838_Duff-Tripp1998
Dunn, John Asher. 1970. Coast Tsimshian Phonology. Ph. D. dissertation, University of New Mexico, Albuquerque.		
Dunn, John Asher. 1979. A Reference Grammar for the Coast Tsimshian Language. Canadian Ethnology Service Paper 55. National Museum of Canada, Ottawa.	Dunn, John Asher. 1979. {A Reference Grammar for the Coast Tsimshian Language}. Ottawa. National Museums of Canada. 55	Dunn1979
Dunn, John Asher. 1995. Sm'algyax: a reference dictionary and grammar for the Coast Tsimshian language. University of Washington Press, Seattle, and Sealaska Heritage Foundation, Juneau. (Rev. ed. of: A practical dictionary of the Coast Tsimshian language. 1978, and A reference grammar for the Coast Tsimshian language. 1979).		
Dunn, Michael John. 1999. A Grammar of Chukchi. Ph D. dissertation, Australian National University. (not accessible on-line: under embargo)		
Dunstan, Elizabeth (ed.) 1969. Twelve Nierian Languages. Longman's, London and Harlow. (Chapter on Efik, contributed by T. L. Cook: 35-46).		
Durbin, M. and Seijas, H. 1972. The phonological structure of the Western Carib languages of the Sierra de Perija, Venezuela. Atti del XL Congresso Internazionale degli Americanisti. vol. III: 69-77.	Durbin, Marshall; Seijas, Hayd{\'{e}}e. 1972. {The Phonological Structure of the Western Carib Languages of the Sierra De Perija, Venezuela}. 3. 69--77	DurbinSeijas1972
Dutton, T.E. 1969. The Peopling of Central Papua (Pacific Linguistics, Series B, 9). Australian National University, Canberra.	Dutton, Tom E.. 1969. {The Peopling of Central Papua}. Canberra. Australian National University. 9	Dutton1969
Dutton, Tom E. 1996. Koiari. Lincom Europa, München and Newcastle.		
Dyck, Carrie, Julie Brittain, & Marguerite MacKenzie. 2006. Northern East Cree accent. Available at http://westernlinguistics.ca/Publications/CLA2006/Dyck_Brittain_MacKenzie.pdf		
Dye, Sally Folger. 2008. Bahinemo phonology. SIL Papua New Guinea, Ukarumpa. Available from http://www.sil.org/pacific/png/pubs/928474543398/Bahinemo_Phonology.pdf		
Dye, Wayne (Compiler). 1992. Organized Phonology Data: Bahinemo (Gahom) language. SIL Papua New Guinea, Ukarumpa. Available from http://www.sil.org/pacific/png/pubs/928474542519/Bahinemo.pdf		
Eather, Bronwyn. 1990. A grammar of Nakkara (Central Arnhem Land Coast). Ph D. dissertation, Australian National University, Canberra. Available at https://openresearch-repository.anu.edu.au/handle/1885/132899. Published version Lincom Europa, München, 2011.	Eather, Bronwyn. 1990. A Grammar of Nakkara (Central Arnhem Land Coast). [Canberra]. Australian Natl. Univ.. Australian National University. xvi+498	152615
Ebert, K.H. 1976. Sprache und Tradition der Kera (Tschad). Teil II: Lexikon. Berlin: Dietrich Reimer.	Ebert, Karen Heide. 1976. {Sprache Und Tradition Der Kera (Tschad). Volume 2: Lexicon}. Berlin. Dietrich Reimer	Ebert1976
Ebert, K.H. 1979. Sprache und Tradition der Kera; III: Grammatik. Dietrich Reimer, Berlin.	Ebert, Karen Heide. 1979. {Sprache Und Tradition Der Kera (Tschad). Volume 3: Grammatik}. Berlin. Reimer	Ebert1979
Echeverría, Max S. & Heles Contreras. 1964. Araucanian phonemics. International Journal of American Linguistics 31: 132-135.	Echeverr{\'\i}a, Max S.; Contreras, Heles. 1965. {Araucanian Phonemics}. 31. 132--135	EcheverriaContreras1965
Eckert, Paul, and Joyce Hudson. 1988. Wangka Wiru: A Handbook for the Pitjantjajara Language Learner. Aboriginal Studies and Teacher Education Centre, Underdale, Australia.?also Adelaide: South Australian College of Advanced Education (not seen)		
Edgar, John T. 1991. Maba Group Lexicon. (Volume 13 of Sprache und Oralität in Afrika: Frankfurter Studien zur Afrikanistik). Dietrich Reimer Verlag, Berlin (not seen).		
Edgar, John. 1991. First Steps toward Proto-Maba (With a Historical Note by John E. Lavers) African Languages and Cultures 4: 113-133 (not seen)		
Egurtzegi, Ander. 2013. Chapter 4: Phonetics and Phonology. In Basque and Proto-Basque: Language-internal and Typological Approaches to Linguistic Reconstruction, edited by Mikel Martínez-Areta. Peter Lang, Frankfurt-am-Main: 119-172.		
Ekka, Francis. 1985. Kũṛux Phonetic Reader. Central Institute of Indian Languages. Manasagangotri, Mysore.	Ekka, Francis. 1985. Kurux Phonetic Reader. Mysore. Central Institute of Indian Languages	1754_Ekka1985
El Hannouche, Jamal. 2008. Ghomara Berber. A Brief Grammatical Survey. M.A. Thesis, Leiden University. Available at https://www.scribd.com/document/46042206/Ghomara-Berber-a-Brief-Grammatical-Survey-by-J-El-Hannouche#download		
El Hannouche, Jamal. 2010. Arabic Influence in Ghomara Berber. M.A. Thesis, Leiden University. Available at https://www.scribd.com/document/46039741/Arabic-Influence-in-Ghomara-Berber-by-J-El-Hannouche		
Elderkin, E.D. 1982. Tanzanian and Ugandan isolates. Nilotic Studies. Proceedings of the International Symposium on Languages and History of the Nilotic Peoples, Cologne, R. Vossen and M. Bechhaus-Gerst, editors. (Kolner Beitrage zur Afrikanistik, vol. 10): 499-521.		
Elderkin, Edward D. (1992). Predictable nasality before East African clicks. Afrikanistische Arbeitspapiere 29. 111–129.		
Elfenbein, Josef. 1997. Brahui. In Phonologies of Asia and Africa, Volume 1I. Alan S. Kaye, ed., Eisenbrauns, Winona Lake IN: 797-811	Elfenbein, Josef. 1997. Brahui phonology. Phonologies of Asia and Africa. Winona Lake, Indiana. Eisenbrauns. 2. 797--814	elfenbein1997brahui
Elfenbein, Josef. Brahui. 1998. In The Dravidian Languages, ed Sanford B Seever. Routledge, London & New York: 389-414.		
Emeneau, M.B. 1937. Phonetic observations on the Brahui language. Bulletin of the School of Oriental Studies 8: 981-983.	Emeneau, Murray B.. 1937. {Phonetic Observations on the Brahui Language}. 8. 981--983	Emeneau1937
Emeneau, M.B. 1944. A Sketch of Kota Grammar. In Kota Texts, Vol. 1. University of California Press, Berkeley and Los Angeles: 15-29.		
Emeneau, M.B. 1962. Brahui and Dravidian Comparative Grammar. University of California Publications in Linguistics 27. University of California Press, Berkeley.	Emeneau, Murray B.. 1962. {Brahui and Dravidian Comparative Grammar}. Berkeley. University of California Press. 27	Emeneau1962
Emeneau, Murray B. 1951. Studies in Vietnamese (Annamese) Grammar. University of California Press, Berkeley and Los Angeles.		
Engstrand, Olle & Abulaziz Yusuf Lodhi. 1985. On aspiration in Swahili: Hypotheses, field observations, and an instrumental analysis. Phonetica 42: 175-187.		
Engstrand, Olle. 1999. Swedish. Handbook of the IPA. Cambridge University Press, Cambridge : 140-146.		
Eraso, Natalia. 2015. Gramática Tanimuka, Una Lengua de La Amazonía Colombiana.. Doctoral dissertation, Université Lyon 2.		
Eriacho Sr., Wilfred & Verna L. Chavez. 1998. Shiwi'ma Isamma: Bena:we — Zuni Glossary. Zuni Tribe and Zuni Public School District No 89, Zuni.		
Escalante Hernández, Roberto. 1962. El Cuitlateco. Instituo Nacional de Antropología e Historia, Mexico.		
Esquerra, Ignasi, Albert Febrer & Climent Nadeu. 0000 Frequency analysis of phonetic units for concatenative synthesis in Catalan.		
Estrada Ramírez, Hortensia. 2000. La lengua sáliba. In María Stella González de Pérez & María Luisa Rodríguez de Montes (eds.), Lenguas Indígenas de Colombia: una Visión Descriptiva. Instituto Caro y Cuervo, Bogotá: 681-702.		
Evans, Nicholas D. 1995. A Grammar of Kayardild, with Historical- Comparative Notes on Tangkic. Mouton de Gruyter, Berlin.		
Evans, Nicholas. 2003. Bininj Gun-Wok: A Pan-dialectal grammar of Mayali, Kunwinjku and Kune (Pacific Linguistics 541). Research School of Pacific and Asian Studies, Australian National University, Canberra.	Evans, Nicholas. 2003. Bininj Gun-Wok: A Pan-dialectal Grammar of Mayali, Kunwinjku and Kune. Canberra. Research School of Pacific and Asian Studies, Australian National University. 541. 782	311644
Everett, Daniel L. 1982. Phonetic rarities in Pirahã. Journal of the International Phonetic Association. 12: 94-96.	Everett, D. L.. 1982. {Phonetic Rarities in Piraha}. 12. 94--96	Everett1982
Everett, Daniel L. 1986. Piraha. In Desmond C. Derbyshire and Geoffrey K. Pullum, ed., Handbook of Amazonian Languages 1, pp. 200-325. Berlin:Mouton de Gruyter.		
Everett, Daniel L. 2003. Iambic feet in Paumari and the theory of foot structure. Linguistic Discovery 2(1). http://journals.dartmouth.edu/cgi-bin/WebObjects/Journals.woa/2/xmlpage/1/article/263?htmlOnce=yes		
Everett, Daniel L. and Barbara Kern. 1997. Wari. London: Routledge.	Everett, Daniel Leonard; Kern, Barbara. 1997. Wari: the Pacaas Novos Language of Western Brazil. Routledge	1890_Everett1997
Everett, Daniel Leonard. 1995. Sistemas prosódicos da família Arawá. In Leo Wetzels, ed, Estudios Fonológicos das Línguas Indígenas Brasileiras. Editora UFRJ, Rio de Janeiro: 297-339.		
Everett, Karen S. 1997. Acoustic correlates of stress in Pirahã. Journal of Amazonian Linguistics 1/2: 104-162.		
Faarlund, Jan Terje. 2012. A Grammar of Chiapas Zoque. Oxford: Oxford University Press.		
Facundes, Sidney Da Silva. 2000. The Language of the Apurinã People of Brazil (Maipure/Arawak). Ph. D. disssertation. State University of New York, Buffalo.	Facundes, Sidney da Silva. 2000. {The Language of the Apurin{\~a} People of Brazil (Maipure/Arawak)}. State University of New York at Buffalo	apu_facundes2000
Faraclas, Nicholas & Ronald Esperano Severing. 2008. Linguistic studies on Papiamentu. Fundashon pa Planifikashon di Idioma, Willemstad Curaçao. (not seen)		
Fast, P. W. 1953. Amuesha (Arawak) phonemes. International Journal of American Linguistics 19: 191-4.	Fast, Peter W.. 1953. {Amuesha (Arawak) Phonemes}. 19. 191--194	Fast1953
Faye, Souleymane & Hillebrand Dijkstra. 2005. Glottalisées du sereer-siin, du saafi-saafi et du noon du Sénégal. SudLangues 5. http://www.sudlangues.sn/spip.php?article86		
Fedden, Olcher Sebastian. 2007. A Grammar of Mian, a Papuan Language of New Guinea. Ph D. thesis, University of Melbourne. Published version: A Grammar of Mian, de Gruyter Mouton, Berlin 2011.		
Feldstein, Ronald and Steven Franks. 2002. Polish. Lincom Europa.		
Ferguson, C.A. and Chowdhury, M. 1960. The phonemes of Bengali. Language 36: 22-59. (has frequency data based on transcribed texts	Ferguson, C. A.; Chowdhury, M.. 1960. {The Phonemes of Bengali}. 36. 22--59	FergusonChowdhury1960
Ferrel, R. 1982. Paiwan dictionary. Canberra: Dept. of Linguistics and Research School of Pacific Studies, Australian National University.		
Ferry, M-P. -1991 Thesaurus tenda: dictionnaire ethnolinguistique de langues sénégalo-guinéennes, 3 Volumes (SELAF 324-326). Peeters Press, Louvain & Paris. (not seen)		
Ferry, M-P. 1961. Le basari. In Perrot, Jean (ed.), Les langues dans le monde ancien et moderne, volume 1. Centre National de la Recherche Scientifique, Paris: 55-63.		
Ferry, M-P. 1968. Deux langues Tenda du Sénégal Oriental: Basari et Bedik. Bulletin de la Société d'Études Linguistiques et Anthropologiques de France 7: 1-62.		
Filchenko, Andrey Yury. 2007. A grammar of Eastern Khanty. (Ph.D. dissertation, Rice University.) (not seen)	Filchenko, Audrey Yury. 2007. {A Grammar of Eastern Khanty}. Rice University	kca_filchenko2007
Fintoft, Knut. 1970. Acoustic Analysis and Perception of Tonemes in some Norwegian Dialects. Universitetsforlaget, Oslo.		
Firchow, Irwin B. & Jacqueline Firchow (compilers). 2008. Rotokas-English Dictionary. SIL Papua New Guinea, Ukarumpa. Available at http://www-01.sil.org/pacific/png/pubs/928474531319/Rotokas_lex_2008.pdf		
